FoldNo;Base;Log;Rel;Cart;DrThr;All;FS
Fold1;88,89;85,19;88,89;88,89;85,19;85,19;85,19
Fold2;74,07;74,07;74,07;74,07;74,07;74,07;74,07
Fold3;77,78;77,78;77,78;77,78;81,48;81,48;77,78
Fold4;81,48;81,48;81,48;77,78;85,19;85,19;85,19
Fold5;70,37;88,89;70,37;81,48;88,89;88,89;88,89
Fold6;85,19;85,19;85,19;81,48;88,89;88,89;88,89
Fold7;85,19;81,48;85,19;81,48;85,19;85,19;85,19
Fold8;80,77;84,62;80,77;84,62;80,77;76,92;76,92
Fold9;84,62;84,62;84,62;92,31;84,62;84,62;84,62
Fold10;80,77;80,77;80,77;80,77;84,62;84,62;84,62
