FoldNo;Base;Log;Num;Rel;Cart;DrThr;All;FS
Fold1;81,48;81,48;81,48;81,48;81,48;81,48;81,48;81,48
Fold2;74,07;74,07;74,07;74,07;74,07;74,07;74,07;74,07
Fold3;74,07;74,07;74,07;74,07;74,07;74,07;74,07;74,07
Fold4;92,59;92,59;92,59;92,59;92,59;92,59;92,59;92,59
Fold5;88,89;88,89;88,89;88,89;88,89;88,89;88,89;88,89
Fold6;70,37;70,37;70,37;70,37;70,37;70,37;70,37;70,37
Fold7;85,19;85,19;85,19;85,19;85,19;85,19;85,19;85,19
Fold8;85,19;85,19;85,19;85,19;85,19;85,19;85,19;85,19
Fold9;85,19;85,19;85,19;85,19;85,19;85,19;85,19;85,19
Fold10;74,07;74,07;74,07;74,07;74,07;74,07;74,07;74,07
