FoldNo;Base;Log;Num;Rel;Cart;DrThr;All;FS
Fold1;40,91;40,91;40,91;40,91;40,91;40,91;40,91;40,91
Fold2;54,55;54,55;54,55;54,55;54,55;54,55;54,55;54,55
Fold3;45,45;45,45;45,45;45,45;45,45;45,45;45,45;45,45
Fold4;54,55;54,55;54,55;54,55;54,55;54,55;54,55;54,55
Fold5;52,38;52,38;52,38;52,38;52,38;52,38;52,38;52,38
Fold6;57,14;57,14;57,14;57,14;57,14;57,14;57,14;57,14
Fold7;47,62;47,62;47,62;47,62;47,62;47,62;47,62;47,62
Fold8;42,86;42,86;42,86;42,86;42,86;42,86;42,86;42,86
Fold9;52,38;52,38;52,38;52,38;52,38;52,38;52,38;52,38
Fold10;38,10;38,10;38,10;38,10;38,10;38,10;38,10;38,10
