FoldNo;Base;Log;Num;Rel;Cart;DrThr;All;FS
Fold1;86,96;86,96;86,96;86,96;86,96;86,96;86,96;86,96
Fold2;91,30;91,30;91,30;91,30;91,30;91,30;91,30;91,30
Fold3;91,30;91,30;91,30;91,30;91,30;91,30;91,30;91,30
Fold4;85,51;85,51;85,51;85,51;85,51;85,51;85,51;85,51
Fold5;84,06;84,06;84,06;84,06;84,06;84,06;84,06;84,06
Fold6;84,06;84,06;84,06;84,06;84,06;84,06;84,06;84,06
Fold7;88,41;88,41;88,41;88,41;88,41;88,41;88,41;88,41
Fold8;82,61;82,61;82,61;82,61;82,61;82,61;82,61;82,61
Fold9;82,61;82,61;82,61;82,61;82,61;82,61;82,61;82,61
Fold10;88,41;88,41;88,41;88,41;88,41;88,41;88,41;88,41
