dataset: Car.arff
								--------------
									Fold  1
								--------------
Feature evaluation: ReliefF (All features dataset) - After CI
Ranked attributes:
 0.232058     315 persons==2 impl safety==low
 0.231586     776 num-of-N((persons = more) and (safety = high) and (maint = vhigh) and (buying = med))
 0.230404     298 buying==low xor safety==high
 0.230404     225 buying==low equ safety==high
 0.227596     749 num-of-N((persons = 4) and (safety = high) and (maint = med) and (buying = vhigh))
 0.227202     669 buying==low or maint==low or safety==low
 0.22666      621 buying==low or maint==low or persons==2
 0.225953     755 num-of-N((safety = high) and (persons = more) and (buying = vhigh) and (maint = med))
 0.225699     781 num-of-N((safety = med) and (persons = 4) and (buying = med))
 0.22451      651 buying==med or maint==high or safety==low
 0.223801     246 persons==4 xor safety==med
 0.223801     173 persons==4 equ safety==med
 0.22314      777 num-of-N((safety = med) and (persons = more) and (buying = med))
 0.22314      782 num-of-N((persons = more) and (safety = med) and (buying = med))
 0.222471     780 num-of-N((persons = 4) and (safety = med) and (maint = med))
 0.221135     555 buying==high or persons==more or safety==low
 0.22039      778 num-of-N((safety = med) and (persons = more) and (maint = med))
 0.22036      603 buying==med or maint==high or persons==2
 0.219893     766 num-of-N((safety = high) and (persons = more) and (buying = med) and (maint = high))
 0.219597     700 maint==low or persons==2 or safety==med
 0.218129     568 buying==low or persons==2 or safety==med
 0.217911     762 num-of-N((safety = high) and (persons = 4) and (buying = med) and (maint = high))
 0.217339     552 buying==high or persons==4 or safety==low
 0.217256     708 buying_x_maint
 0.217084     569 buying==low or persons==2 or safety==high
 0.216483     249 persons==more xor safety==med
 0.216483     176 persons==more equ safety==med
 0.216389     559 buying==med or persons==2 or safety==med
 0.21604      691 maint==med or persons==2 or safety==med
 0.215579     219 buying==high equ safety==high
 0.215579     292 buying==high xor safety==high
 0.214879     213 maint==low equ safety==high
 0.214879     286 maint==low xor safety==high
 0.213945     152 buying==low or safety==high
 0.210559     701 maint==low or persons==2 or safety==high
 0.21035      207 maint==high equ safety==high
 0.21035      280 maint==high xor safety==high
 0.210344     771 num-of-N((safety = high) and (buying = med) and (maint = high))
 0.21004      666 buying==low or maint==med or safety==low
 0.208726     692 maint==med or persons==2 or safety==high
 0.207916     560 buying==med or persons==2 or safety==high
 0.207549     276 maint==vhigh xor safety==med
 0.207549     203 maint==vhigh equ safety==med
 0.207375     143 buying==vhigh or safety==high
 0.206059     756 num-of-N((safety = high) and (buying = high) and (maint = med))
 0.205799     283 maint==med xor safety==high
 0.205799     210 maint==med equ safety==high
 0.205469     222 buying==med equ safety==high
 0.205469     295 buying==med xor safety==high
 0.205285     687 maint==high or persons==more or safety==low
 0.204722     104 persons==more or safety==high
 0.203856     618 buying==low or maint==med or persons==2
 0.202397     761 num-of-N((safety = high) and (buying = high) and (maint = high))
 0.201829     131 maint==vhigh or safety==high
 0.201318     130 maint==vhigh or safety==med
 0.20094      684 maint==high or persons==4 or safety==low
 0.200533     654 buying==med or maint==med or safety==low
 0.199912     345 buying==low impl persons==2
 0.19978      215 buying==vhigh equ safety==med
 0.19978      288 buying==vhigh xor safety==med
 0.199746     625 buying==vhigh or maint==vhigh or safety==med
 0.197595     369 buying==low impl safety==low
 0.196484     606 buying==med or maint==med or persons==2
 0.19575      316 persons==2 impl safety==med
 0.195402     609 buying==med or maint==low or persons==2
 0.19516      657 buying==med or maint==low or safety==low
 0.193675     573 buying==low or persons==more or safety==low
 0.193039     740 (safety = high) and (persons = 4)
 0.193039      28 persons==4 and safety==high
 0.192376     142 buying==vhigh or safety==med
 0.189157     140 maint==low or safety==high
 0.188993     137 maint==med or safety==high
 0.188092     758 num-of-N((maint = high) and (buying = high) and (safety = med) and (persons = more))
 0.186381     705 maint==low or persons==more or safety==low
 0.18578      767 num-of-N((safety = med) and (buying = low) and (maint = high))
 0.185503     134 maint==high or safety==high
 0.184857     570 buying==low or persons==4 or safety==low
 0.184691     702 maint==low or persons==4 or safety==low
 0.184505     224 buying==low equ safety==med
 0.184505     297 buying==low xor safety==med
 0.18446      101 persons==4 or safety==high
 0.183334     149 buying==med or safety==high
 0.181984     564 buying==med or persons==more or safety==low
 0.181642     696 maint==med or persons==more or safety==low
 0.180649     145 buying==high or safety==med
 0.180446     218 buying==high equ safety==med
 0.180446     291 buying==high xor safety==med
 0.180336     317 persons==2 impl safety==high
 0.179469     561 buying==med or persons==4 or safety==low
 0.178247     179 maint==vhigh equ persons==4
 0.178247     252 maint==vhigh xor persons==4
 0.176176     693 maint==med or persons==4 or safety==low
 0.176098     253 maint==vhigh xor persons==more
 0.176098     180 maint==vhigh equ persons==more
 0.176035     146 buying==high or safety==high
 0.175599     637 buying==high or maint==vhigh or safety==med
 0.174526      31 persons==more and safety==high
 0.170509     765 num-of-N((safety = med) and (maint = med) and (buying = med))
 0.170261     191 buying==vhigh equ persons==4
 0.170261     264 buying==vhigh xor persons==4
 0.170209     192 buying==vhigh equ persons==more
 0.170209     265 buying==vhigh xor persons==more
 0.169435     103 persons==more or safety==med
 0.169119     100 persons==4 or safety==med
 0.16762      626 buying==vhigh or maint==vhigh or safety==high
 0.167052     274 buying==low xor persons==more
 0.167052     201 buying==low equ persons==more
 0.166652     212 maint==low equ safety==med
 0.166652     285 maint==low xor safety==med
 0.165934     273 buying==low xor persons==4
 0.165934     200 buying==low equ persons==4
 0.165547       1 buying
 0.164761     357 maint==low impl safety==low
 0.164121      80 buying==vhigh or maint==vhigh
 0.162378     294 buying==med xor safety==med
 0.162378     221 buying==med equ safety==med
 0.16223      279 maint==high xor safety==med
 0.16223      206 maint==high equ safety==med
 0.16044      333 maint==low impl persons==2
 0.160125     671 buying==low or maint==low or safety==high
 0.159093     662 buying==low or maint==vhigh or safety==high
 0.157705     769 num-of-N((persons = 4) and (buying = med) and (maint = med))
 0.157437     770 num-of-N((persons = more) and (maint = med) and (buying = vhigh))
 0.155616     209 maint==med equ safety==med
 0.155616     282 maint==med xor safety==med
 0.153719     342 buying==med impl persons==2
 0.15304      575 buying==low or persons==more or safety==high
 0.153036     366 buying==med impl safety==low
 0.152161     238 buying==low xor maint==vhigh
 0.152161     165 buying==low equ maint==vhigh
 0.151348     668 buying==low or maint==med or safety==high
 0.150193     226 buying==vhigh xor maint==vhigh
 0.150193     153 buying==vhigh equ maint==vhigh
 0.149495     106 maint==vhigh or persons==4
 0.148614     107 maint==vhigh or persons==more
 0.148468     635 buying==vhigh or maint==low or safety==high
 0.14828      194 buying==high equ persons==4
 0.14828      267 buying==high xor persons==4
 0.148192     679 maint==vhigh or persons==more or safety==med
 0.148017     195 buying==high equ persons==more
 0.148017     268 buying==high xor persons==more
 0.147121     133 maint==high or safety==med
 0.147076     763 num-of-N((persons = 4) and (maint = med) and (buying = high))
 0.146857     118 buying==vhigh or persons==4
 0.146638     754 num-of-N((persons = more) and (buying = high) and (maint = high))
 0.146613     189 maint==low equ persons==more
 0.146613     262 maint==low xor persons==more
 0.146471     128 buying==low or persons==more
 0.146337     632 buying==vhigh or maint==med or safety==high
 0.14605      548 buying==vhigh or persons==more or safety==high
 0.145837     680 maint==vhigh or persons==more or safety==high
 0.145774      95 buying==low or maint==low
 0.145634     640 buying==high or maint==high or safety==med
 0.145501     261 maint==low xor persons==4
 0.145501     188 maint==low equ persons==4
 0.145071     330 maint==med impl persons==2
 0.144422     319 persons==4 impl safety==med
 0.143825     119 buying==vhigh or persons==more
 0.143766     676 maint==vhigh or persons==4 or safety==med
 0.143023     547 buying==vhigh or persons==more or safety==med
