FoldNo;Base;Log;Num;Rel;Cart;DrThr;All;FS
Fold1;86,96;91,30;81,16;86,96;89,86;91,30;91,30;88,41
Fold2;91,30;89,86;85,51;91,30;88,41;92,75;91,30;91,30
Fold3;91,30;86,96;86,96;82,61;88,41;91,30;86,96;91,30
Fold4;85,51;81,16;85,51;82,61;85,51;84,06;86,96;82,61
Fold5;84,06;81,16;84,06;85,51;79,71;79,71;79,71;79,71
Fold6;84,06;89,86;81,16;78,26;85,51;94,20;89,86;89,86
Fold7;88,41;82,61;82,61;81,16;79,71;82,61;79,71;81,16
Fold8;82,61;85,51;79,71;82,61;85,51;84,06;85,51;85,51
Fold9;82,61;86,96;78,26;79,71;86,96;82,61;86,96;86,96
Fold10;88,41;86,96;84,06;84,06;88,41;86,96;88,41;88,41
