FoldNo;Base;Log;Num;Rel;Cart;DrThr;All;FS
Fold1;77,78;77,78;77,78;77,78;77,78;77,78;77,78;77,78
Fold2;71,43;71,43;71,43;71,43;71,43;71,43;71,43;71,43
Fold3;73,02;73,02;73,02;73,02;73,02;73,02;73,02;73,02
Fold4;76,19;76,19;76,19;76,19;76,19;76,19;76,19;76,19
Fold5;76,19;76,19;76,19;76,19;76,19;76,19;76,19;76,19
Fold6;72,58;72,58;72,58;72,58;72,58;72,58;72,58;72,58
Fold7;79,03;79,03;79,03;79,03;79,03;79,03;79,03;79,03
Fold8;75,81;75,81;75,81;75,81;75,81;75,81;75,81;75,81
Fold9;82,26;82,26;82,26;82,26;82,26;82,26;82,26;82,26
Fold10;82,26;82,26;82,26;82,26;82,26;82,26;82,26;82,26
