FoldNo;Base;Log;Num;Rel;Cart;DrThr;All;FS
Fold1;77,78;77,78;92,06;92,06;77,78;87,30;88,89;88,89
Fold2;76,19;82,54;88,89;79,37;85,71;88,89;90,48;76,19
Fold3;87,30;82,54;87,30;82,54;77,78;82,54;87,30;87,30
Fold4;85,71;60,32;92,06;85,71;63,49;80,95;80,95;80,95
Fold5;87,30;68,25;88,89;80,95;79,37;88,89;88,89;87,30
Fold6;87,10;75,81;93,55;82,26;82,26;93,55;93,55;93,55
Fold7;85,48;87,10;90,32;83,87;87,10;90,32;90,32;90,32
Fold8;88,71;75,81;88,71;80,65;90,32;91,94;91,94;91,94
Fold9;90,32;56,45;90,32;88,71;83,87;85,48;90,32;90,32
Fold10;82,26;66,13;91,94;91,94;66,13;82,26;82,26;82,26
