dataset: Balance scale.arff
								--------------
									Fold  1
								--------------
Feature evaluation: ReliefF (All features dataset) - After CI
Ranked attributes:
 0.2563    150 num-of-N((right-distance <= 1) and (left-weight >= 2) and (right-weight <= 3))
 0.2559    131 left-weight_x_right-weight
 0.2462    119 left-weight LESSTHAN right-weight
 0.2456    154 num-of-N((right-distance <= 2) and (left-distance >= 3))
 0.2422    130 left-distance_x_right-distance
 0.2416    155 num-of-N((right-weight <= 2) and (left-weight >= 3))
 0.2409    145 num-of-N((right-weight <= 1) and (left-distance >= 2))
 0.235     115 left-distance LESSTHAN right-weight
 0.2309     11 left-weight==B2of2 and left-distance==B2of2
 0.2307    148 num-of-N((left-distance >= 4) and (left-weight >= 2) and (right-weight <= 3))
 0.2299     35 left-weight==B2of2 equ left-distance==B2of2
 0.2299     47 left-weight==B2of2 xor left-distance==B2of2
 0.2297    149 num-of-N((right-distance <= 2) and (left-weight >= 3))
 0.2254    132 left-weight_x_right-distance
 0.2251    152 num-of-N((left-weight >= 4) and (left-distance >= 3))
 0.2239    146 num-of-N((right-distance <= 1) and (left-distance >= 2))
 0.2211     32 right-weight==B1of3 equ right-distance==B2of2
 0.2211     44 right-weight==B1of3 xor right-distance==B2of2
 0.2183     17 left-distance==B2of2 or right-weight==B1of3
 0.2146    156 num-of-N((right-weight <= 1) and (right-distance <= 3))
 0.2135    118 left-distance LESSTHAN right-distance
 0.2116     29 left-distance==B2of2 equ right-weight==B1of3
 0.2116     41 left-distance==B2of2 xor right-weight==B1of3
 0.2096    120 left-weight LESSTHAN right-distance
 0.2046     49 left-weight==B2of2 xor right-weight==B1of3
 0.2046     37 left-weight==B2of2 equ right-weight==B1of3
 0.2019     48 left-distance==B2of2 xor right-distance==B2of2
 0.2019     36 left-distance==B2of2 equ right-distance==B2of2
 0.1988     25 left-weight==B2of2 or right-weight==B1of3
 0.1905     52 left-weight==B2of2 xor right-distance==B2of2
 0.1905     40 left-weight==B2of2 equ right-distance==B2of2
 0.1798    141 (left-weight >= 3) and (left-distance >= 3) and (right-distance <= 3)
 0.1794     31 left-distance==B2of2 equ right-weight==B3of3
 0.1794     43 left-distance==B2of2 xor right-weight==B3of3
 0.1789     33 right-weight==B2of3 equ right-distance==B2of2
 0.1789     45 right-weight==B2of3 xor right-distance==B2of2
 0.1704     30 left-distance==B2of2 equ right-weight==B2of3
 0.1704     42 left-distance==B2of2 xor right-weight==B2of3
 0.1666     46 right-weight==B3of3 xor right-distance==B2of2
 0.1666     34 right-weight==B3of3 equ right-distance==B2of2
 0.1631     55 left-distance==B2of2 impl right-weight==B3of3
 0.1622     38 left-weight==B2of2 equ right-weight==B2of3
 0.1622     50 left-weight==B2of2 xor right-weight==B2of3
 0.1618    133 (right-weight <= 1) and (left-distance >= 2)
 0.1607    140 (left-weight >= 4) and (left-distance >= 3)
 0.1581     53 left-distance==B2of2 impl right-weight==B1of3
 0.157       9 right-weight==B2of3 and right-distance==B2of2
 0.1556    151 num-of-N((left-weight >= 4) and (left-distance >= 4))
 0.1495     61 left-weight==B2of2 impl right-weight==B1of3
 0.1489     39 left-weight==B2of2 equ right-weight==B3of3
 0.1489     51 left-weight==B2of2 xor right-weight==B3of3
 0.1485    142 (right-distance <= 2) and (left-distance >= 3)
 0.1485     60 left-distance==B2of2 impl right-distance==B2of2
 0.1422     63 left-weight==B2of2 impl right-weight==B3of3
 0.1386    143 (right-weight <= 2) and (left-weight >= 3)
 0.1383     68 left-weight==B2of2 and left-distance==B2of2 and right-distance==B2of2
 0.1326    134 (right-distance <= 1) and (left-distance >= 2)
 0.1297     16 left-weight==B2of2 and right-distance==B2of2
 0.1294    147 num-of-N((right-distance <= 2) and (left-weight >= 5))
 0.1289     10 right-weight==B3of3 and right-distance==B2of2
 0.1288    136 (left-distance >= 4) and (left-weight >= 2) and (right-weight <= 3)
 0.128     137 (right-distance <= 2) and (left-weight >= 3)
 0.128      64 left-weight==B2of2 impl right-distance==B2of2
 0.1275     62 left-weight==B2of2 impl right-weight==B2of3
 0.127      54 left-distance==B2of2 impl right-weight==B2of3
 0.126       6 left-distance==B2of2 and right-weight==B2of3
 0.1256     12 left-distance==B2of2 and right-distance==B2of2
 0.1228     20 right-weight==B1of3 or right-distance==B2of2
 0.1206     14 left-weight==B2of2 and right-weight==B2of3
 0.12       59 left-weight==B2of2 impl left-distance==B2of2
 0.1193    110 right-weight MULTIPLY right-distance
 0.1186    111 left-weight MULTIPLY left-distance
 0.1165     73 left-weight==B2of2 and right-weight==B2of3 and right-distance==B2of2
 0.1145     70 left-weight==B2of2 and left-distance==B2of2 and right-weight==B2of3
 0.1143    139 (left-weight >= 4) and (left-distance >= 4)
 0.1124     66 left-distance==B2of2 and right-weight==B2of3 and right-distance==B2of2
 0.1062     91 left-distance SUBTRACT right-weight
 0.1052     95 left-weight SUBTRACT right-weight
 0.1049     19 left-distance==B2of2 or right-weight==B3of3
 0.1032     97 left-distance DIVIDE right-weight
 0.102      86 right-weight ADD right-distance
 0.1019     94 left-distance SUBTRACT right-distance
 0.1014     96 left-weight SUBTRACT right-distance
 0.1004      3 right-weight
 0.0997    105 left-weight DIVIDE right-weight
 0.0994     87 left-weight ADD left-distance
 0.0972    125 left-weight DIFF right-weight
 0.0965    106 right-weight DIVIDE left-weight
 0.0965      2 left-distance
 0.0964    107 left-weight DIVIDE right-distance
 0.0958      5 left-distance==B2of2 and right-weight==B1of3
 0.0955     98 right-weight DIVIDE left-distance
 0.0951    104 right-distance DIVIDE left-distance
 0.0934      8 right-weight==B1of3 and right-distance==B2of2
 0.0932      4 right-distance
 0.0931      1 left-weight
 0.0931     13 left-weight==B2of2 and right-weight==B1of3
 0.0925    103 left-distance DIVIDE right-distance
 0.0919    108 right-distance DIVIDE left-weight
 0.091     121 left-distance DIFF right-weight
 0.0864     26 left-weight==B2of2 or right-weight==B2of3
 0.0849     18 left-distance==B2of2 or right-weight==B2of3
 0.084      21 right-weight==B2of3 or right-distance==B2of2
 0.0827    144 (right-weight <= 1) and (right-distance <= 3)
 0.0823    126 left-weight DIFF right-distance
 0.0793    124 left-distance DIFF right-distance
 0.0789     71 left-weight==B2of2 and left-distance==B2of2 and right-weight==B3of3
 0.0789     75 left-distance==B2of2 or right-weight==B1of3 or right-distance==B2of2
 0.0755     22 right-weight==B3of3 or right-distance==B2of2
 0.0744     67 left-distance==B2of2 and right-weight==B3of3 and right-distance==B2of2
 0.0734     27 left-weight==B2of2 or right-weight==B3of3
 0.0725     15 left-weight==B2of2 and right-weight==B3of3
 0.0712      7 left-distance==B2of2 and right-weight==B3of3
 0.0711     74 left-weight==B2of2 and right-weight==B3of3 and right-distance==B2of2
 0.0694     24 left-distance==B2of2 or right-distance==B2of2
 0.0688    138 (right-distance <= 1) and (left-weight >= 2) and (right-weight <= 3)
 0.0658     79 left-weight==B2of2 or left-distance==B2of2 or right-weight==B1of3
 0.0651    100 right-distance DIVIDE right-weight
 0.0635     58 right-weight==B3of3 impl right-distance==B2of2
 0.0628    101 left-weight DIVIDE left-distance
 0.0618     82 left-weight==B2of2 or right-weight==B1of3 or right-distance==B2of2
 0.0615     23 left-weight==B2of2 or left-distance==B2of2
 0.061      99 right-weight DIVIDE right-distance
 0.0592    102 left-distance DIVIDE left-weight
 0.0589     65 left-distance==B2of2 and right-weight==B1of3 and right-distance==B2of2
 0.0583     72 left-weight==B2of2 and right-weight==B1of3 and right-distance==B2of2
 0.0581     57 right-weight==B2of3 impl right-distance==B2of2
 0.0566    117 left-weight LESSTHAN left-distance
 0.056     109 left-distance MULTIPLY right-weight
 0.0543    116 right-weight LESSTHAN right-distance
 0.0536    112 left-distance MULTIPLY right-distance
 0.0529    113 left-weight MULTIPLY right-weight
 0.0529    114 left-weight MULTIPLY right-distance
 0.0523     28 left-weight==B2of2 or right-distance==B2of2
 0.0486     92 right-weight SUBTRACT right-distance
 0.0484     93 left-weight SUBTRACT left-distance
 0.0479     85 left-distance ADD right-weight
 0.0453     88 left-distance ADD right-distance
 0.0436     89 left-weight ADD right-weight
 0.0415     77 left-distance==B2of2 or right-weight==B3of3 or right-distance==B2of2
 0.0414     90 left-weight ADD right-distance
 0.041      76 left-distance==B2of2 or right-weight==B2of3 or right-distance==B2of2
 0.0344     84 left-weight==B2of2 or right-weight==B3of3 or right-distance==B2of2
 0.0343     69 left-weight==B2of2 and left-distance==B2of2 and right-weight==B1of3
 0.0341     81 left-weight==B2of2 or left-distance==B2of2 or right-weight==B3of3
 0.0335     56 right-weight==B1of3 impl right-distance==B2of2
 0.0282     78 left-weight==B2of2 or left-distance==B2of2 or right-distance==B2of2
 0.0256    123 left-weight DIFF left-distance
 0.0253     83 left-weight==B2of2 or right-weight==B2of3 or right-distance==B2of2
 0.0229    135 (right-distance <= 2) and (left-weight >= 5)
 0.0226    122 right-weight DIFF right-distance
