Total execution time: 15.775640964508057 for dataset: logicalconcepteasy time of entry: 2023-07-03 02:26:07.474802
Total execution time: 15.467132806777954 for dataset: logicalConceptEasy time of entry: 2023-07-03 02:27:31.025589
