NEW 	 OLD
F1L1	A1==(-inf-20.012411] and A2==(-inf-20.034171]
F2L1	A1==(-inf-20.012411] and A2==(20.034171-40.007803]
F3L1	A1==(-inf-20.012411] and A2==(40.007803-59.981434]
F4L1	A1==(-inf-20.012411] and A2==(59.981434-79.955066]
F5L1	A1==(-inf-20.012411] and A2==(79.955066-inf)
F6L1	A1==(20.012411-40.007342] and A2==(-inf-20.034171]
F7L1	A1==(20.012411-40.007342] and A2==(20.034171-40.007803]
F8L1	A1==(20.012411-40.007342] and A2==(40.007803-59.981434]
F9L1	A1==(20.012411-40.007342] and A2==(59.981434-79.955066]
F10L1	A1==(20.012411-40.007342] and A2==(79.955066-inf)
F11L1	A1==(40.007342-60.002274] and A2==(-inf-20.034171]
F12L1	A1==(40.007342-60.002274] and A2==(20.034171-40.007803]
F13L1	A1==(40.007342-60.002274] and A2==(40.007803-59.981434]
F14L1	A1==(40.007342-60.002274] and A2==(59.981434-79.955066]
F15L1	A1==(40.007342-60.002274] and A2==(79.955066-inf)
F16L1	A1==(60.002274-79.997205] and A2==(-inf-20.034171]
F17L1	A1==(60.002274-79.997205] and A2==(20.034171-40.007803]
F18L1	A1==(60.002274-79.997205] and A2==(40.007803-59.981434]
F19L1	A1==(60.002274-79.997205] and A2==(59.981434-79.955066]
F20L1	A1==(60.002274-79.997205] and A2==(79.955066-inf)
F21L1	A1==(79.997205-inf) and A2==(-inf-20.034171]
F22L1	A1==(79.997205-inf) and A2==(20.034171-40.007803]
F23L1	A1==(79.997205-inf) and A2==(40.007803-59.981434]
F24L1	A1==(79.997205-inf) and A2==(59.981434-79.955066]
F25L1	A1==(79.997205-inf) and A2==(79.955066-inf)
F26L1	A2==(-inf-20.034171] and A3==(-inf-20.034171]
F27L1	A2==(20.034171-40.007803] and A3==(20.034171-40.007803]
F28L1	A2==(40.007803-59.981434] and A3==(40.007803-59.981434]
F29L1	A2==(59.981434-79.955066] and A3==(59.981434-79.955066]
F30L1	A2==(79.955066-inf) and A3==(79.955066-inf)
F31L1	A1==(-inf-20.012411] and A3==(-inf-20.034171]
F32L1	A1==(-inf-20.012411] and A3==(20.034171-40.007803]
F33L1	A1==(-inf-20.012411] and A3==(40.007803-59.981434]
F34L1	A1==(-inf-20.012411] and A3==(59.981434-79.955066]
F35L1	A1==(-inf-20.012411] and A3==(79.955066-inf)
F36L1	A1==(20.012411-40.007342] and A3==(-inf-20.034171]
F37L1	A1==(20.012411-40.007342] and A3==(20.034171-40.007803]
F38L1	A1==(20.012411-40.007342] and A3==(40.007803-59.981434]
F39L1	A1==(20.012411-40.007342] and A3==(59.981434-79.955066]
F40L1	A1==(20.012411-40.007342] and A3==(79.955066-inf)
F41L1	A1==(40.007342-60.002274] and A3==(-inf-20.034171]
F42L1	A1==(40.007342-60.002274] and A3==(20.034171-40.007803]
F43L1	A1==(40.007342-60.002274] and A3==(40.007803-59.981434]
F44L1	A1==(40.007342-60.002274] and A3==(59.981434-79.955066]
F45L1	A1==(40.007342-60.002274] and A3==(79.955066-inf)
F46L1	A1==(60.002274-79.997205] and A3==(-inf-20.034171]
F47L1	A1==(60.002274-79.997205] and A3==(20.034171-40.007803]
F48L1	A1==(60.002274-79.997205] and A3==(40.007803-59.981434]
F49L1	A1==(60.002274-79.997205] and A3==(59.981434-79.955066]
F50L1	A1==(60.002274-79.997205] and A3==(79.955066-inf)
F51L1	A1==(79.997205-inf) and A3==(-inf-20.034171]
F52L1	A1==(79.997205-inf) and A3==(20.034171-40.007803]
F53L1	A1==(79.997205-inf) and A3==(40.007803-59.981434]
F54L1	A1==(79.997205-inf) and A3==(59.981434-79.955066]
F55L1	A1==(79.997205-inf) and A3==(79.955066-inf)
F56L1	A1==(-inf-20.012411] or A2==(-inf-20.034171]
F57L1	A1==(-inf-20.012411] or A2==(20.034171-40.007803]
F58L1	A1==(-inf-20.012411] or A2==(40.007803-59.981434]
F59L1	A1==(-inf-20.012411] or A2==(59.981434-79.955066]
F60L1	A1==(-inf-20.012411] or A2==(79.955066-inf)
F61L1	A1==(20.012411-40.007342] or A2==(-inf-20.034171]
F62L1	A1==(20.012411-40.007342] or A2==(20.034171-40.007803]
