NEW 	 OLD
F1L1	EBIT==B1of3 and net_income==B1of3
F2L1	EBIT==B1of3 and net_income==B2of3
F3L1	EBIT==B1of3 and net_income==B3of3
F4L1	EBIT==B2of3 and net_income==B1of3
F5L1	EBIT==B2of3 and net_income==B2of3
F6L1	EBIT==B2of3 and net_income==B3of3
F7L1	EBIT==B3of3 and net_income==B1of3
F8L1	EBIT==B3of3 and net_income==B2of3
F9L1	EBIT==B3of3 and net_income==B3of3
F10L1	EBIT==B1of3 and FFO==B1of3
F11L1	EBIT==B1of3 and FFO==B2of3
F12L1	EBIT==B1of3 and FFO==B3of3
F13L1	EBIT==B2of3 and FFO==B1of3
F14L1	EBIT==B2of3 and FFO==B2of3
F15L1	EBIT==B2of3 and FFO==B3of3
F16L1	EBIT==B3of3 and FFO==B1of3
F17L1	EBIT==B3of3 and FFO==B2of3
F18L1	EBIT==B3of3 and FFO==B3of3
F19L1	equity==B2of2 and debt==B2of2
F20L1	net_income==B1of3 and equity==B2of2
F21L1	net_income==B2of3 and equity==B2of2
F22L1	net_income==B3of3 and equity==B2of2
F23L1	net_income==B1of3 and debt==B2of2
F24L1	net_income==B2of3 and debt==B2of2
F25L1	net_income==B3of3 and debt==B2of2
F26L1	equity==B2of2 and FFO==B1of3
F27L1	equity==B2of2 and FFO==B2of3
F28L1	equity==B2of2 and FFO==B3of3
F29L1	net_income==B1of3 and FFO==B1of3
F30L1	net_income==B1of3 and FFO==B3of3
F31L1	net_income==B2of3 and FFO==B1of3
F32L1	net_income==B2of3 and FFO==B2of3
F33L1	net_income==B2of3 and FFO==B3of3
F34L1	net_income==B3of3 and FFO==B2of3
F35L1	net_income==B3of3 and FFO==B3of3
F36L1	interest==B2of2 and equity==B2of2
F37L1	interest==B2of2 and debt==B2of2
F38L1	debt==B2of2 and FFO==B1of3
F39L1	debt==B2of2 and FFO==B2of3
F40L1	debt==B2of2 and FFO==B3of3
F41L1	interest==B2of2 and EBIT==B1of3
F42L1	interest==B2of2 and EBIT==B2of3
F43L1	interest==B2of2 and EBIT==B3of3
F44L1	interest==B2of2 and net_income==B1of3
F45L1	interest==B2of2 and net_income==B2of3
F46L1	interest==B2of2 and net_income==B3of3
F47L1	interest==B2of2 and FFO==B1of3
F48L1	interest==B2of2 and FFO==B2of3
F49L1	interest==B2of2 and FFO==B3of3
F50L1	EBIT==B1of3 and equity==B2of2
F51L1	EBIT==B2of3 and equity==B2of2
F52L1	EBIT==B3of3 and equity==B2of2
F53L1	EBIT==B1of3 and debt==B2of2
F54L1	EBIT==B2of3 and debt==B2of2
F55L1	EBIT==B3of3 and debt==B2of2
F56L1	EBIT==B1of3 or net_income==B1of3
F57L1	EBIT==B1of3 or net_income==B2of3
F58L1	EBIT==B1of3 or net_income==B3of3
F59L1	EBIT==B2of3 or net_income==B1of3
F60L1	EBIT==B2of3 or net_income==B2of3
F61L1	EBIT==B2of3 or net_income==B3of3
F62L1	EBIT==B3of3 or net_income==B1of3
F63L1	EBIT==B3of3 or net_income==B2of3
F64L1	EBIT==B3of3 or net_income==B3of3
F65L1	cost_of_labor or interest==B2of2
F66L1	cost_of_labor or EBIT==B1of3
F67L1	cost_of_labor or EBIT==B2of3
F68L1	cost_of_labor or EBIT==B3of3
F69L1	cost_of_labor or net_income==B1of3
F70L1	cost_of_labor or net_income==B2of3
F71L1	cost_of_labor or net_income==B3of3
F72L1	EBIT==B1of3 or FFO==B1of3
F73L1	EBIT==B1of3 or FFO==B2of3
F74L1	EBIT==B1of3 or FFO==B3of3
F75L1	EBIT==B2of3 or FFO==B1of3
F76L1	EBIT==B2of3 or FFO==B2of3
F77L1	EBIT==B2of3 or FFO==B3of3
F78L1	EBIT==B3of3 or FFO==B1of3
F79L1	EBIT==B3of3 or FFO==B2of3
F80L1	EBIT==B3of3 or FFO==B3of3
F81L1	cost_of_labor or FFO==B1of3
F82L1	cost_of_labor or FFO==B2of3
F83L1	cost_of_labor or FFO==B3of3
F84L1	equity==B2of2 or debt==B2of2
F85L1	equity==B2of2 or total_oper_liabilities
F86L1	net_income==B1of3 or equity==B2of2
F87L1	net_income==B2of3 or equity==B2of2
F88L1	net_income==B3of3 or equity==B2of2
F89L1	net_income==B1of3 or debt==B2of2
F90L1	net_income==B2of3 or debt==B2of2
F91L1	net_income==B3of3 or debt==B2of2
F92L1	equity==B2of2 or st_liabilities
F93L1	equity==B2of2 or inventories
F94L1	financial_expenses or equity==B2of2
F95L1	net_income==B1of3 or total_oper_liabilities
F96L1	net_income==B2of3 or total_oper_liabilities
F97L1	net_income==B3of3 or total_oper_liabilities
F98L1	net_income==B1of3 or st_liabilities
F99L1	net_income==B2of3 or st_liabilities
F100L1	net_income==B3of3 or st_liabilities
F101L1	net_income==B1of3 or inventories
F102L1	net_income==B2of3 or inventories
F103L1	net_income==B3of3 or inventories
F104L1	st_liabilities or FFO==B1of3
F105L1	st_liabilities or FFO==B2of3
F106L1	st_liabilities or FFO==B3of3
F107L1	equity==B2of2 or FFO==B1of3
F108L1	equity==B2of2 or FFO==B2of3
F109L1	equity==B2of2 or FFO==B3of3
F110L1	financial_expenses or interest==B2of2
F111L1	debt==B2of2 or total_oper_liabilities
F112L1	financial_expenses or net_income==B1of3
F113L1	financial_expenses or net_income==B2of3
F114L1	financial_expenses or net_income==B3of3
F115L1	net_income==B1of3 or FFO==B1of3
F116L1	net_income==B1of3 or FFO==B2of3
F117L1	net_income==B1of3 or FFO==B3of3
F118L1	net_income==B2of3 or FFO==B1of3
F119L1	net_income==B2of3 or FFO==B2of3
F120L1	net_income==B2of3 or FFO==B3of3
F121L1	net_income==B3of3 or FFO==B1of3
F122L1	net_income==B3of3 or FFO==B2of3
F123L1	net_income==B3of3 or FFO==B3of3
F124L1	debt==B2of2 or st_liabilities
F125L1	debt==B2of2 or inventories
F126L1	interest==B2of2 or equity==B2of2
F127L1	financial_expenses or FFO==B1of3
F128L1	financial_expenses or FFO==B2of3
F129L1	financial_expenses or FFO==B3of3
F130L1	interest==B2of2 or debt==B2of2
F131L1	interest==B2of2 or total_oper_liabilities
F132L1	interest==B2of2 or st_liabilities
F133L1	interest==B2of2 or inventories
F134L1	inventories or FFO==B1of3
F135L1	inventories or FFO==B2of3
F136L1	inventories or FFO==B3of3
F137L1	total_oper_liabilities or FFO==B1of3
F138L1	total_oper_liabilities or FFO==B2of3
F139L1	total_oper_liabilities or FFO==B3of3
F140L1	debt==B2of2 or FFO==B1of3
F141L1	debt==B2of2 or FFO==B2of3
F142L1	debt==B2of2 or FFO==B3of3
F143L1	interest==B2of2 or EBIT==B1of3
F144L1	interest==B2of2 or EBIT==B2of3
F145L1	interest==B2of2 or EBIT==B3of3
F146L1	interest==B2of2 or net_income==B1of3
F147L1	interest==B2of2 or net_income==B2of3
F148L1	interest==B2of2 or net_income==B3of3
F149L1	interest==B2of2 or FFO==B1of3
F150L1	interest==B2of2 or FFO==B2of3
F151L1	interest==B2of2 or FFO==B3of3
F152L1	EBIT==B1of3 or equity==B2of2
F153L1	EBIT==B2of3 or equity==B2of2
F154L1	EBIT==B3of3 or equity==B2of2
F155L1	EBIT==B1of3 or debt==B2of2
F156L1	EBIT==B2of3 or debt==B2of2
F157L1	EBIT==B3of3 or debt==B2of2
F158L1	cost_of_labor or equity==B2of2
F159L1	EBIT==B1of3 or total_oper_liabilities
